"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Somalia                           ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","MOHAMED",,,"23","58,081","20","50,505","..",".."
"2","ABDI",,,"15","37,879","8","20,202","..",".."
"3","AHMED",,,"14","35,354","10","25,253","..",".."
"4","OMAR",,,"14","35,354","..","..","..",".."
"5","ALI",,,"13","32,828","6","15,152","..",".."
"6","HASSAN",,,"11","27,778","11","27,778","..",".."
"7","ADEN",,,"11","27,778","5","12,626","..",".."
"8","IBRAHIM",,,"8","20,202","11","27,778","..",".."
"9","HUSSEIN",,,"8","20,202","5","12,626","..",".."
"10","ABDULLAHI",,,"8","20,202","..","..","..",".."
"11","CABDI",,,"8","20,202","..","..","..",".."
"12","CALI",,,"8","20,202","..","..","..",".."
"13","AXMED",,,"7","17,677","..","..","..",".."
"14","NUR",,,"7","17,677","..","..","..",".."
"15","WARSAME ALI",,,"7","17,677","..","..","..",".."
"16","CALI IDIRIS",,,"6","15,152","..","..","..",".."
"17","DAHIR",,,"6","15,152","..","..","..",".."
"18","JAMAL",,,"6","15,152","..","..","..",".."
"19","OSMAN",,,"..","..","8","20,202","..",".."
"20","KADIYE",,,"..","..","7","17,677","..",".."
"21","MUHUMED",,,"..","..","6","15,152","..",".."
"NOTAS:",
"0) Por secreto estadístico sólo se muestran los apellidos cuya frecuencia es mayor que 5 en alguno de los dos apellidos para el total nacional. Para las nacionalidades seleccionadas se exige además una frecuencia de al menos 5 en alguno de los dos apellidos. Por esta razón, la frecuencia total para algunos apellidos puede no ser igual a la suma de las nacionalidades que se muestran.  ",,,,,,,,,,,,
"1) Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2018",,,,,,,,,,,,

