"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Egipto                            ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","MOHAMED",,,"134","35,134","80","20,975","5","1,311"
"2","AHMED",,,"80","20,975","37","9,701","..",".."
"3","MAHMOUD",,,"63","16,518","29","7,604","..",".."
"4","IBRAHIM",,,"47","12,323","40","10,488","..",".."
"5","HASSAN",,,"41","10,750","22","5,768","..",".."
"6","ELSAYED",,,"31","8,128","13","3,408","..",".."
"7","HUSSEIN",,,"24","6,293","17","4,457","..",".."
"8","ALI",,,"22","5,768","14","3,671","..",".."
"9","MOUSTAFA",,,"22","5,768","7","1,835","..",".."
"10","SAYED",,,"22","5,768","..","..","..",".."
"11","KHALIL",,,"21","5,506","13","3,408","..",".."
"12","SOLIMAN",,,"21","5,506","9","2,360","..",".."
"13","EL SAYED",,,"21","5,506","5","1,311","..",".."
"14","ABDALLA",,,"18","4,719","14","3,671","..",".."
"15","ABDELHAMID",,,"17","4,457","6","1,573","..",".."
"16","YOUSSEF",,,"17","4,457","5","1,311","..",".."
"17","ABDELRAHMAN",,,"17","4,457","..","..","..",".."
"18","ALY",,,"16","4,195","7","1,835","..",".."
"19","ABDELAZIZ",,,"16","4,195","..","..","..",".."
"20","SAAD",,,"14","3,671","7","1,835","..",".."
"21","AMIN",,,"14","3,671","5","1,311","..",".."
"22","ISMAIL",,,"13","3,408","..","..","..",".."
"23","ASHRAF",,,"12","3,146","..","..","..",".."
"24","MANSOUR",,,"11","2,884","..","..","..",".."
"25","TAWFIK",,,"11","2,884","..","..","..",".."
"26","MOSTAFA",,,"10","2,622","9","2,360","..",".."
"27","AWAD",,,"10","2,622","6","1,573","..",".."
"28","RAMADAN",,,"10","2,622","6","1,573","..",".."
"29","KAMEL",,,"10","2,622","5","1,311","..",".."
"30","ABDELKADER",,,"10","2,622","..","..","..",".."
"31","FARAG",,,"10","2,622","..","..","..",".."
"32","GAMAL",,,"10","2,622","..","..","..",".."
"33","KHALIFA",,,"10","2,622","..","..","..",".."
"34","TAREK",,,"10","2,622","..","..","..",".."
"35","HAMED",,,"9","2,360","9","2,360","..",".."
"36","FAHMY",,,"9","2,360","8","2,098","..",".."
"37","GERGES",,,"9","2,360","6","1,573","..",".."
"38","SALEM",,,"9","2,360","6","1,573","..",".."
"39","FATHY",,,"9","2,360","..","..","..",".."
"40","SHERIF",,,"9","2,360","..","..","..",".."
"41","ABDELLATIF",,,"8","2,098","6","1,573","..",".."
"42","ABDELFATTAH",,,"8","2,098","..","..","..",".."
"43","ADEL",,,"8","2,098","..","..","..",".."
"44","MOHAMED AHMED",,,"8","2,098","..","..","..",".."
"45","NASR",,,"8","2,098","..","..","..",".."
"46","REZK",,,"8","2,098","..","..","..",".."
"47","SAID",,,"8","2,098","..","..","..",".."
"48","SELIM",,,"7","1,835","7","1,835","..",".."
"49","SALEH",,,"7","1,835","5","1,311","..",".."
"50","ADLY",,,"7","1,835","..","..","..",".."
"51","AYMAN IBRAHIM",,,"7","1,835","..","..","..",".."
"52","EID",,,"7","1,835","..","..","..",".."
"53","FOUAD",,,"7","1,835","..","..","..",".."
"54","HEGAZY",,,"7","1,835","..","..","..",".."
"55","MOUNIR",,,"7","1,835","..","..","..",".."
"56","RAGAB",,,"7","1,835","..","..","..",".."
"57","MOUSSA",,,"6","1,573","5","1,311","..",".."
"58","ABDELAZIM",,,"6","1,573","..","..","..",".."
"59","ABDELGHAFFAR",,,"6","1,573","..","..","..",".."
"60","ABDELWAHAB",,,"6","1,573","..","..","..",".."
"61","AHMED MOHAMED",,,"6","1,573","..","..","..",".."
"62","BAITALMAL",,,"6","1,573","..","..","..",".."
"63","GABER",,,"6","1,573","..","..","..",".."
"64","HAMDY",,,"6","1,573","..","..","..",".."
"65","HOSNY",,,"6","1,573","..","..","..",".."
"66","KAMAL KHALIL",,,"6","1,573","..","..","..",".."
"67","MAGDY",,,"6","1,573","..","..","..",".."
"68","MAHMOUD AHMED",,,"6","1,573","..","..","..",".."
"69","METWALLY",,,"6","1,573","..","..","..",".."
"70","MOHAMED IBRAHIM",,,"6","1,573","..","..","..",".."
"71","NASHAT METREY",,,"6","1,573","..","..","..",".."
"72","OSAMA",,,"6","1,573","..","..","..",".."
"73","SAID MOHAMED",,,"6","1,573","..","..","..",".."
"74","SAKR",,,"6","1,573","..","..","..",".."
"75","SALAH",,,"6","1,573","..","..","..",".."
"76","SAMY",,,"6","1,573","..","..","..",".."
"77","SHEHATA",,,"5","1,311","6","1,573","..",".."
"78","ABDOU",,,"5","1,311","5","1,311","..",".."
"79","MIKHAIL",,,"5","1,311","5","1,311","..",".."
"80","ABBAS",,,"5","1,311","..","..","..",".."
"81","ABDELAAL",,,"5","1,311","..","..","..",".."
"82","ATTIA",,,"5","1,311","..","..","..",".."
"83","AZIZ",,,"5","1,311","..","..","..",".."
"84","BOSHRA",,,"5","1,311","..","..","..",".."
"85","HAMDY MOHAMED",,,"5","1,311","..","..","..",".."
"86","HASHEM",,,"5","1,311","..","..","..",".."
