"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Haití                         ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","PIERRE",,,"27","65,060","..","..","..",".."
"2","JOSEPH",,,"18","43,373","..","..","..",".."
"3","JEAN",,,"16","38,554","..","..","..",".."
"4","LOUIS",,,"12","28,916","..","..","..",".."
"5","MOISE",,,"8","19,277","..","..","..",".."
"6","PAUL",,,"6","14,458","..","..","..",".."
"7","MICHEL",,,"5","12,048","..","..","..",".."
"8","NOEL",,,"5","12,048","..","..","..",".."
"NOTAS:",
"0) Por secreto estadístico sólo se muestran los apellidos cuya frecuencia es mayor que 5 en alguno de los dos apellidos para el total nacional. Para las nacionalidades seleccionadas se exige además una frecuencia de al menos 5 en alguno de los dos apellidos. Por esta razón, la frecuencia total para algunos apellidos puede no ser igual a la suma de las nacionalidades que se muestran.  ",,,,,,,,,,,,
"1) Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2018",,,,,,,,,,,,

