"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Burkina Faso                      ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","OUEDRAOGO",,,"75","61,175","6","4,894","..",".."
"2","COMPAORE",,,"52","42,414","..","..","..",".."
"3","SAWADOGO",,,"34","27,732","5","4,078","..",".."
"4","KABORE",,,"30","24,470","..","..","..",".."
"5","TRAORE",,,"26","21,207","..","..","..",".."
"6","ILBOUDO",,,"21","17,129","..","..","..",".."
"7","DABRE",,,"20","16,313","..","..","..",".."
"8","BANDAOGO",,,"18","14,682","..","..","..",".."
"9","YABRE",,,"17","13,866","..","..","..",".."
"10","SAVADOGO",,,"16","13,051","..","..","..",".."
"11","GOUBA",,,"15","12,235","..","..","..",".."
"12","TIENDREBEOGO",,,"15","12,235","..","..","..",".."
"13","BANSE",,,"14","11,419","..","..","..",".."
"14","YAMEOGO",,,"14","11,419","..","..","..",".."
"15","ZONGO",,,"14","11,419","..","..","..",".."
"16","GUEBRE",,,"13","10,604","..","..","..",".."
"17","NIKIEMA",,,"13","10,604","..","..","..",".."
"18","SARE",,,"13","10,604","..","..","..",".."
"19","SANGO",,,"12","9,788","..","..","..",".."
"20","BANCE",,,"10","8,157","..","..","..",".."
"21","KERE",,,"10","8,157","..","..","..",".."
"22","KONATE",,,"9","7,341","..","..","..",".."
"23","ZAMPOU",,,"9","7,341","..","..","..",".."
"24","BARA",,,"8","6,525","..","..","..",".."
"25","TAPSOBA",,,"8","6,525","..","..","..",".."
"26","BALIMA",,,"7","5,710","..","..","..",".."
"27","BAMBARA",,,"7","5,710","..","..","..",".."
"28","BOUSSIM",,,"7","5,710","..","..","..",".."
"29","DIALLO",,,"7","5,710","..","..","..",".."
"30","KOURAOGO",,,"7","5,710","..","..","..",".."
"31","LOURE",,,"7","5,710","..","..","..",".."
"32","OUATTARA",,,"7","5,710","..","..","..",".."
"33","SALBRE",,,"7","5,710","..","..","..",".."
"34","SOURABIE",,,"7","5,710","..","..","..",".."
"35","TARNAGDA",,,"7","5,710","..","..","..",".."
"36","ZANZE",,,"7","5,710","..","..","..",".."
"37","ZOMBRA",,,"7","5,710","..","..","..",".."
"38","CISSE",,,"6","4,894","..","..","..",".."
"39","DENE",,,"6","4,894","..","..","..",".."
"40","KIENTEGA",,,"6","4,894","..","..","..",".."
"41","MINOUNGOU",,,"6","4,894","..","..","..",".."
"42","NANA",,,"6","4,894","..","..","..",".."
"43","SANA",,,"6","4,894","..","..","..",".."
"44","SORGHO",,,"6","4,894","..","..","..",".."
"45","GOUEM",,,"5","4,078","..","..","..",".."
"46","KANAZOE",,,"5","4,078","..","..","..",".."
"47","SAMBARE",,,"5","4,078","..","..","..",".."
"48","SINKA",,,"5","4,078","..","..","..",".."
"49","TOUGMA",,,"5","4,078","..","..","..",".."
"NOTAS:",
"0) Por secreto estadístico sólo se muestran los apellidos cuya frecuencia es mayor que 5 en alguno de los dos apellidos para el total nacional. Para las nacionalidades seleccionadas se exige además una frecuencia de al menos 5 en alguno de los dos apellidos. Por esta razón, la frecuencia total para algunos apellidos puede no ser igual a la suma de las nacionalidades que se muestran.  ",,,,,,,,,,,,
"1) Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2018",,,,,,,,,,,,

