Date;Aaron;Abdul;Adam;Adrian;Aidan;Aiden;Alan;Albert;Albie;Alec;Alex;Alexander;Alfie;Alfred;Allan;Andrew;Anthony;Antony;Archibald;Archie;Arlo;Arnold;Arthur;Ashley;Ashton;Austin;Bailey;Barrie;Barry;Basil;Ben;Benjamin;Bernard;Bertie;Bertram;Billy;Blake;Bobby;Bradley;Brandon;Brett;Brian;Bruce;Bryan;Caleb;Callum;Calum;Cameron;Carl;Carter;Cecil;Charles;Charlie;Chester;Christian;Christopher;Clarence;Claude;Clifford;Clive;Colin;Connor;Conor;Corey;Craig;Curtis;Cyril;Dale;Damian;Damien;Daniel;Danny;Darren;David;Dean;Declan;Denis;Dennis;Derek;Derrick;Desmond;Dexter;Dominic;Donald;Douglas;Duncan;Dylan;Edgar;Edmund;Edward;Edwin;Elijah;Elliot;Elliott;Ellis;Eric;Ernest;Ethan;Evan;Ewan;Ezra;Felix;Finlay;Finley;Finn;Francis;Frank;Frankie;Fred;Freddie;Frederick;Gabriel;Gareth;Garry;Gary;Gavin;Geoffrey;George;Gerald;Gerard;Gilbert;Glen;Glenn;Gordon;Graeme;Graham;Grayson;Gregory;Guy;Harley;Harold;Harrison;Harry;Harvey;Hayden;Hector;Henry;Herbert;Horace;Howard;Hubert;Hudson;Hugh;Hugo;Hunter;Iain;Ian;Ibrahim;Isaac;Ivan;Ivor;Jack;Jackson;Jacob;Jake;James;Jamie;Jason;Jasper;Jaxon;Jay;Jayden;Jeffrey;Jenson;Jeremy;Jesse;Joe;Joel;Joey;John;Jonathan;Jordan;Joseph;Josh;Joshua;Jude;Julian;Justin;Kai;Kane;Karl;Kayden;Keith;Kenneth;Kevin;Kian;Kieran;Kieron;Kyle;Laurence;Lawrence;Lee;Leigh;Leo;Leon;Leonard;Leslie;Lewis;Liam;Lionel;Logan;Louie;Louis;Luca;Lucas;Luke;Macauley;Malcolm;Marc;Marcus;Mark;Martin;Martyn;Mason;Mathew;Matthew;Maurice;Max;Melvyn;Michael;Mitchell;Mohamed;Mohammad;Mohammed;Morgan;Morris;Muhammad;Nathan;Neil;Neville;Nicholas;Nigel;Noah;Noel;Norman;Oakley;Oliver;Ollie;Oscar;Owen;Patrick;Paul;Percival;Percy;Peter;Philip;Phillip;Ralph;Raymond;Reece;Reggie;Reginald;Reuben;Rhys;Richard;Ricky;Riley;Robert;Robin;Rodney;Roger;Roland;Roman;Ronald;Ronnie;Rory;Ross;Rowan;Roy;Royston;Russell;Ryan;Sam;Samuel;Scott;Sean;Sebastian;Seth;Shane;Shaun;Sidney;Simon;Sonny;Spencer;Stanley;Stephen;Steven;Stewart;Stuart;Sydney;Taylor;Teddy;Terence;Terry;Theo;Theodore;Thomas;Timothy;Tobias;Toby;Tom;Tommy;Tony;Trevor;Tyler;Victor;Vincent;Walter;Wayne;Wilfred;William;Zachary;Zak
1904;null;null;null;null;null;null;62;9;null;90;null;42;null;11;92;71;91;null;60;null;null;75;5;null;null;null;null;null;null;null;null;53;45;69;74;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;34;7;null;null;null;61;77;83;43;null;96;null;null;null;null;null;26;null;null;null;57;null;null;30;null;null;98;87;null;null;null;null;null;51;54;null;null;49;76;12;40;null;null;null;null;35;10;null;88;null;null;null;null;null;null;28;16;null;38;null;8;null;null;null;null;null;58;3;68;null;64;null;null;82;null;null;null;null;null;null;14;null;18;null;null;89;17;21;37;95;65;null;55;null;null;null;null;null;null;null;79;39;null;null;null;6;null;null;null;null;null;null;null;null;null;100;null;null;null;2;null;null;13;null;null;null;null;null;null;null;null;null;null;52;null;null;null;null;null;99;56;null;null;null;null;22;24;70;null;86;null;null;78;null;null;null;null;null;null;null;81;85;null;null;null;84;50;null;null;46;null;null;null;null;null;97;null;null;null;null;null;null;null;null;33;null;93;null;null;94;44;null;72;29;59;48;null;66;73;null;null;20;null;null;25;null;null;15;null;null;null;80;null;41;null;null;null;null;null;null;null;null;null;32;null;null;null;null;null;null;27;null;null;null;23;67;null;null;null;36;null;null;null;null;null;null;4;null;null;null;63;null;null;null;null;47;null;19;null;31;1;null;null
1914;null;null;null;null;null;null;58;8;null;84;null;53;null;14;89;67;76;null;88;null;null;75;6;null;null;null;null;null;null;92;null;63;40;null;77;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;46;9;null;null;null;66;90;97;45;null;82;null;null;null;null;null;29;null;null;null;59;null;null;32;null;null;69;56;null;null;null;null;null;41;57;null;null;65;80;11;50;null;null;null;null;27;13;null;96;null;null;null;null;null;null;34;15;null;47;null;7;null;null;null;null;null;55;3;70;null;72;null;null;54;null;null;null;null;null;null;18;null;19;null;null;null;16;25;43;95;71;null;61;null;null;null;null;null;null;null;73;30;null;null;null;5;null;null;null;null;null;null;null;null;null;null;null;null;null;1;null;null;12;null;null;null;null;null;null;null;null;null;null;33;null;null;null;null;null;87;62;null;null;null;null;20;17;78;null;81;null;null;79;null;null;null;null;null;null;null;null;86;null;null;null;85;48;null;null;39;null;null;null;null;null;null;null;null;null;null;null;null;null;null;28;null;null;null;null;98;38;93;94;44;42;52;99;60;51;null;null;24;null;null;26;null;null;10;null;null;null;83;null;21;null;null;null;null;64;null;null;null;null;36;null;null;null;null;null;null;31;null;null;null;22;68;null;null;null;37;null;null;null;null;null;null;4;null;null;null;74;null;null;100;null;49;91;23;null;35;2;null;null
1924;null;null;null;null;null;null;37;13;null;94;null;54;null;27;75;73;49;null;null;null;null;81;9;null;null;null;null;null;null;80;null;83;42;null;null;null;null;null;null;null;null;66;null;null;null;null;null;null;null;null;60;14;null;null;null;69;null;null;48;null;61;null;null;null;null;null;35;null;null;null;72;null;null;21;null;null;58;20;52;74;65;null;null;29;38;null;null;84;96;12;56;null;null;null;null;18;23;null;null;null;null;null;null;null;null;43;19;null;63;null;10;null;null;null;null;null;36;3;51;null;95;null;null;39;null;92;null;null;null;null;26;null;30;null;null;null;24;46;70;93;87;null;71;null;null;null;85;null;null;97;77;33;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;1;null;null;16;null;null;null;null;null;null;null;null;null;86;7;null;null;null;null;null;100;62;null;null;null;null;25;15;98;null;90;null;null;null;null;null;null;null;null;null;null;null;89;null;null;null;null;47;null;null;40;null;null;null;91;null;null;null;null;null;null;null;null;null;null;22;null;null;null;null;99;44;88;null;67;11;53;null;64;28;null;null;31;null;null;32;null;null;8;null;null;null;82;null;6;null;null;null;null;41;null;null;null;null;57;null;null;null;null;null;null;45;null;null;null;17;76;null;null;null;59;null;null;68;null;null;null;5;null;null;null;null;null;null;79;null;50;78;34;null;55;2;null;null
1934;null;78;null;null;null;null;13;35;null;100;null;66;null;49;65;79;16;null;null;null;null;98;25;null;null;null;null;92;53;null;null;null;38;null;null;null;null;null;null;null;null;4;null;58;null;null;null;null;null;null;94;29;null;null;null;57;null;null;60;70;26;null;null;null;null;null;61;null;null;null;71;null;null;5;null;null;64;19;14;77;88;null;null;18;44;null;null;null;null;20;74;null;null;null;null;27;47;null;null;null;null;null;null;null;null;42;34;null;97;null;24;null;null;null;null;null;33;10;40;null;null;null;null;21;null;50;null;null;null;null;48;null;51;null;null;null;45;73;null;null;null;null;81;null;null;null;55;null;null;91;87;52;null;null;null;6;null;null;null;null;null;null;86;null;null;null;null;null;null;1;null;null;23;null;null;null;null;null;null;null;null;null;36;9;null;null;null;null;null;null;72;null;null;null;null;37;31;null;null;null;null;null;null;null;null;null;null;46;null;null;null;80;null;null;null;null;43;null;null;7;null;null;null;68;null;null;null;null;95;83;null;null;null;96;30;null;null;null;null;null;32;63;null;null;2;56;null;76;15;null;null;41;null;null;28;null;null;11;82;99;67;null;null;8;null;null;null;null;17;93;null;null;null;75;null;null;null;null;null;null;69;null;null;null;39;84;null;null;null;90;null;null;22;null;null;null;12;null;null;null;null;null;null;59;null;62;85;54;null;89;3;null;null
1944;null;null;null;74;null;null;8;61;null;null;null;66;null;73;58;45;6;null;null;null;null;null;47;null;null;null;null;70;20;null;null;null;37;null;null;null;null;null;null;null;null;7;92;79;null;null;null;null;null;null;null;38;null;null;null;16;null;null;68;50;15;null;null;null;null;null;98;null;null;null;82;null;null;2;null;null;85;34;27;null;null;null;null;53;52;null;null;null;null;29;89;null;null;null;null;39;72;null;null;null;null;null;null;null;null;54;46;null;null;null;42;null;null;null;95;null;25;21;49;null;null;null;null;44;null;22;null;null;null;null;75;null;65;null;null;null;63;null;null;64;null;null;84;null;null;null;23;null;null;91;null;81;null;null;null;10;null;null;null;null;null;null;51;null;null;null;null;null;null;1;null;null;36;null;null;null;null;null;null;null;null;null;14;12;67;null;null;null;null;null;83;null;null;null;null;59;35;null;null;null;null;null;null;null;null;null;null;24;null;null;null;41;null;null;null;null;62;null;78;3;null;null;null;87;null;null;null;null;80;null;76;69;null;null;43;null;null;null;null;null;31;28;null;null;4;32;93;90;17;null;null;71;null;null;11;null;null;5;57;48;13;null;null;26;null;null;null;null;30;100;null;null;null;97;null;null;null;null;null;null;99;null;null;null;60;40;null;null;55;null;null;null;18;88;null;null;19;77;null;null;null;null;96;33;null;56;94;86;null;null;9;null;null
1954;null;74;null;54;null;null;8;93;null;null;null;71;null;null;58;12;11;99;null;null;null;null;72;null;null;null;null;null;33;null;null;null;63;null;null;null;null;null;null;null;null;17;null;80;null;null;null;null;null;null;null;38;null;null;null;9;null;null;81;44;22;null;null;null;null;null;null;null;null;null;73;null;null;1;null;null;97;55;37;null;null;null;null;64;69;null;null;null;null;45;null;null;null;null;null;62;null;null;null;null;null;null;null;null;null;61;65;null;null;null;67;null;85;82;34;null;28;35;60;78;null;null;98;51;null;19;null;94;null;null;null;null;100;null;null;null;83;null;null;68;null;null;89;null;null;null;13;null;null;null;null;null;null;null;null;14;null;null;null;null;null;null;48;null;70;null;null;null;null;2;52;null;47;null;null;null;96;null;null;null;null;null;18;25;20;null;null;null;null;null;77;null;null;null;null;76;42;null;null;null;null;null;null;null;null;null;null;31;null;null;32;21;75;null;null;null;95;null;null;4;null;90;84;56;null;null;null;null;46;null;36;27;null;null;66;null;null;null;null;null;39;7;null;null;5;16;57;null;26;null;null;null;null;null;10;null;null;6;59;null;41;null;null;43;null;null;null;null;50;null;null;null;null;null;null;null;null;null;null;null;null;53;null;null;86;3;23;91;49;null;null;null;29;92;null;null;24;40;null;null;null;null;79;30;null;88;87;null;null;null;15;null;null
1964;null;null;68;30;null;null;21;null;null;null;null;77;null;null;89;3;14;46;null;null;null;null;null;null;null;null;null;null;42;null;null;null;null;null;null;null;null;null;null;null;null;31;98;null;null;null;null;null;37;null;null;56;null;null;null;11;null;null;null;58;25;null;null;null;60;null;null;null;null;null;53;null;66;1;44;null;null;96;43;null;null;null;100;99;81;75;null;null;null;49;null;null;null;null;null;88;null;null;null;null;null;null;null;null;null;82;null;null;null;null;null;null;79;70;16;97;63;54;91;90;null;null;95;74;84;26;null;78;85;null;null;null;null;null;null;null;null;null;null;92;null;null;null;null;null;94;8;null;null;null;null;null;null;null;null;19;null;93;null;null;null;null;57;null;47;null;null;null;null;5;27;null;48;null;null;null;62;null;null;null;64;null;33;41;15;null;null;null;null;null;null;50;null;null;null;null;76;null;null;null;null;null;null;null;null;null;null;65;null;null;4;18;87;null;null;52;null;null;null;6;null;null;null;73;null;null;null;null;22;null;28;23;null;null;null;null;null;null;null;null;35;2;null;null;12;20;59;null;45;null;null;null;null;null;10;null;null;9;69;null;61;null;null;80;null;null;null;null;71;null;55;null;null;null;null;36;null;null;null;40;null;13;null;null;null;7;17;83;32;null;null;null;51;86;null;null;34;24;null;null;null;null;67;38;null;null;72;null;39;null;29;null;null
1974;null;86;35;38;null;null;36;null;null;null;null;43;null;null;null;4;25;74;null;null;null;null;null;null;null;null;null;null;48;null;null;34;null;null;null;null;null;null;null;null;92;51;null;null;null;null;null;null;39;null;null;70;null;null;49;6;null;null;null;null;44;null;null;null;28;null;null;null;64;null;16;null;15;3;37;null;null;null;100;null;null;null;69;null;null;66;null;null;null;52;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;46;90;30;72;null;83;null;null;null;77;97;null;null;42;null;81;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;78;21;null;null;null;null;null;null;null;null;7;45;18;null;null;null;null;null;null;62;null;null;null;null;13;20;null;59;null;null;null;68;47;null;null;50;null;53;94;27;null;null;null;null;null;null;12;98;null;91;null;null;null;null;null;null;null;null;null;null;95;null;89;54;71;2;26;80;null;87;10;null;null;null;9;null;null;null;61;null;null;null;58;22;null;19;55;null;null;null;null;84;null;null;null;67;1;null;null;23;29;63;null;85;null;null;null;null;null;5;null;null;14;75;null;96;null;null;null;null;null;null;null;null;null;60;79;null;82;31;56;null;null;65;57;null;8;null;null;null;11;17;88;24;null;null;null;99;93;null;null;40;33;null;null;null;null;73;76;null;null;null;null;32;null;41;null;null
1984;53;96;12;63;null;null;58;null;null;null;79;25;null;null;null;7;24;89;null;null;null;null;null;49;null;null;null;null;81;null;45;16;null;null;null;null;null;null;92;null;null;87;null;null;null;null;null;null;44;null;null;69;null;null;null;1;null;null;null;null;67;null;null;null;19;null;null;76;null;97;4;86;33;3;39;null;null;null;null;null;null;null;80;null;null;null;null;null;null;51;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;35;null;26;55;null;71;null;null;null;null;null;null;null;59;null;85;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;100;27;null;null;null;null;74;null;null;null;2;30;41;null;null;null;null;null;null;null;null;null;null;null;14;18;93;40;null;78;null;null;91;null;null;61;null;88;null;37;null;90;null;null;null;null;15;95;null;82;null;null;66;56;null;null;null;null;null;null;29;null;null;62;null;10;36;94;null;73;6;null;null;null;5;null;null;83;54;null;null;null;57;42;null;22;null;null;null;null;null;48;null;null;null;65;9;null;null;23;32;64;null;null;null;null;null;null;null;8;75;null;13;99;null;null;null;null;null;null;null;60;null;null;null;68;28;72;43;38;46;null;null;70;52;null;21;null;null;null;20;17;98;31;null;null;null;null;84;null;null;11;47;null;null;null;null;77;null;null;null;null;null;50;null;34;null;null
1994;32;null;11;null;null;null;null;null;null;null;50;13;null;null;null;20;58;null;null;null;null;null;null;33;null;null;null;null;null;null;40;15;null;null;null;78;null;null;34;86;null;null;null;null;null;31;null;65;84;null;null;44;59;null;92;14;null;null;null;null;null;28;68;null;61;null;null;63;null;null;4;91;100;24;67;94;null;null;null;null;null;null;52;null;null;null;83;null;null;47;null;null;70;85;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;90;null;null;null;null;21;null;null;null;null;null;null;null;null;null;null;null;null;null;null;30;null;null;null;74;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;null;35;18;2;26;62;null;null;98;null;null;null;null;null;53;80;null;39;29;10;16;81;7;null;null;null;null;null;95;null;null;null;null;null;36;null;43;null;null;55;null;null;null;null;null;22;17;null;null;null;66;null;null;8;null;null;null;82;45;87;null;null;97;5;null;72;null;12;77;null;96;41;null;null;null;27;null;null;42;null;null;null;null;null;23;null;null;99;71;60;null;null;51;79;null;null;null;54;null;null;null;56;49;null;null;25;null;null;null;null;null;null;null;null;64;null;null;null;null;6;38;9;37;46;null;null;69;73;null;75;null;null;null;48;57;null;89;null;null;null;null;null;null;null;1;76;null;88;93;null;null;null;null;null;null;null;null;null;19;null;null
