"KEY_NAME";"SYNONYM"
"Aaron";"Aarón"
"Aaron";"Aharon"
"Aaron";"Aron"
"Aaron";"Áron"
"Abas";"Abbas"
"Abdalkader";"Abdelkader"
"Abdelrahman";"Abdel-Rahman"
"Abdulhamid";"Abdülhamid"
"Abdulkarim";"Abdülkerim"
"Abdullah";"Abdalla"
"Abdullah";"Abdallah"
"Abdullah";"Abdulah"
"Abdullah";"Abdulla"
"Abdullatif";"Abdul-Lâtif"
"Abdulrahman";"Abdullrahman"
"Abdüsselam";"Abdüsselâm"
"Ábel";"Abel"
"Adam";"Ádám"
"Adel";"Adell"
"Adian";"Adyan"
"Adrian";"Adriaan"
"Adrian";"Adrijan"
"Adrian";"Adryan"
"Adriana";"Adrianna"
"Adriana";"Adrijana"
"Adrienn";"Adrienne"
"Agata";"Agatha"
"Aglaia";"Aglaja"
"Agnes";"Agnés"
"Agnes";"Ágnes"
"Agnetha";"Agneta"
"Ägydius";"Aegidius"
"Ägydius";"Ägidius"
"Ägydius";"Egidius"
"Ahmed";"Ahmad"
"Ahmed";"Ahmat"
"Ahmed";"Ahmet"
"Ahmed";"Akhmed"
"Aimée";"Aimé"
"Aimée";"Aimee"
"Aiša";"Aisa"
"Aiša";"Ajscha"
"Aise";"Ayse"
"Aisha";"Aischa"
"Aisha";"Äisha"
"Aisha";"Aysha"
"Aiyana";"Ajana"
"Aladin";"Aladdin"
"Alannah";"Alanna"
"Aleksia";"Aleksija"
"Alesandro";"Allassandro"
"Alessandra";"Alesandra"
"Alessandra";"Allessandra"
"Alessia";"Alesia"
"Alessia";"Alesja"
"Alessia";"Alessya"
"Alex";"Aleks"
"Alexa";"Aleksa"
"Alexander";"Aleksandar"
"Alexander";"Aleksandăr"
"Alexander";"Aleksander"
"Alexander";"Aleksandër"
"Alexander";"Alexandar"
"Alexander";"Alexsander"
"Alexandra";"Aleksandra"
"Alexej";"Aleksej"
"Alexej";"Alexeij"
"Alexej";"Alexey"
"Alexis";"Aleksis"
"Alfons";"Alphons"
"Ali";"Áli"
"Ali";"Aly"
"Alia";"Aaliya"
"Alia";"Aaliyah"
"Alia";"Aalyah"
"Alia";"Aalyha"
"Alia";"Aalyiah"
"Alia";"Aliyah"
"Alice";"Alis"
"Alicia";"Alicja"
"Alina";"Allina"
"Alisa";"Aliza"
"Alisha";"Alischa"
"Alisha";"Alysha"
"Alissa";"Alyssa"
"Aljoscha";"Aljosha"
"Allaeddine";"Alaeddin"
"Allen";"Allan"
"Allessio";"Alessio"
"Allison";"Alison"
"Almut";"Almuth"
"Alparslan";"Alpaslan"
"Alvin";"Alwin"
"Alvin";"Alwyn"
"Alya";"Alija"
"Alya";"Aliya"
"Alya";"Alyaa"
"Amany";"Amani"
"Amarin";"Amaryn"
"Amelia";"Amélia"
"Amelie";"Amálie"
"Amelie";"Ameli"
"Amelie";"Amélie"
"Amelie";"Amely"
"Amina";"Aminah"
"Amira";"Amirah"
"Amrai";"Amrei"
"Anabella";"Anabela"
"Anabella";"Annabella"
"Anahi";"Anahí"
"Anahi";"Anahy"
"Anais";"Anaîs"
"Anais";"Anaïs"
"Ana-Maria";"Anamarija"
"Ana-Maria";"Ana-Marija"
"Ana-Sofie";"Ana-Sophie"
"Anastasia";"Anastasija"
"Anastasia";"Anastasiya"
"Anastasia";"Anastazia"
"Anastasia";"Anastazja"
"Anatoli";"Anatolie"
"Andelija";"Andjelija"
"Andelina";"Andjelina"
"Andi";"Andy"
"Andre";"Andrä"
"Andre";"André"
"Andre";"Andrè"
"Andre";"Andree"
"Andre";"Andreè"
"Andre";"Andrée"
"Andre";"Andrèe"
"Andrea";"Andreea"
"Andrea";"Andreia"
"Andrea";"Andreja"
"Andreas";"Andreeas"
"Andrej";"Andrei"
"André-Pascal";"Andre-Pascal"
"Andriana";"Andrijana"
"Andriena";"Andrina"
"Aneta";"Anetta"
"Anette";"Annett"
"Anette";"Annette"
"Angelika";"Angelica"
"Angélique";"Angelique"
"Angélique";"Angèlique"
"Angie";"Angy"
"Ani";"Anie"
"Ani";"Any"
"Anicco";"Aniko"
"Anil";"Ánil"
"Anina";"Annina"
"Anisa";"Anisah"
"Anisa";"Anissa"
"Anita";"Anitta"
"Anja";"Ania"
"Anja";"Annja"
"Anja";"Anya"
"Anja-Patricia";"Anja-Patrizia"
"Ann";"An"
"Anna";"Ana"
"Annabelle";"Anabel"
"Annabelle";"Anabell"
"Annabelle";"Anabelle"
"Annabelle";"Annabel"
"Annabelle";"Annabell"
"Anna-Carina";"Anna-Karina"
"Anna-Catharina";"Anna-Katharina"
"Anna-Céline";"Anna-Celine"
"Anna-Christina";"Anna-Kristina"
"Anna-Kathrin";"Annakathrin"
"Anna-Kathrin";"Anna-Katrin"
"Anna-Kristin";"Anna-Christin"
"Annalena";"Ana-Lena"
"Annalena";"Anna-Leena"
"Annalena";"Anna-Lena"
"Anna-Lisa";"Annalisa"
"Anna-Margaretha";"Anna-Margareta"
"Anna-Maria";"Annamaria"
"Anna-Maria";"Annamária"
"Anna-Marie";"Annamarie"
"Anna-Rafaela";"Anna-Raphaela"
"Anna-Sophie";"Anna-Sofie"
"Anna-Teresa";"Anna-Tereza"
"Anna-Teresa";"Anna-Theresa"
"Anna-Veronica";"Anna-Veronika"
"Anna-Viktoria";"Anna-Victoria"
"Ann-Cathrine";"Ann-Kathrine"
"Ann-Christin";"Ann-Kristin"
"Anne-Kathrin";"Annecathrin"
"Anne-Kathrin";"Anne-Katrin"
"Annelie";"Anneli"
"Annelies";"Annelis"
"Anneliese";"Annelise"
"Anneliese";"Anne-Lise"
"Annemarie";"Anemarie"
"Annemarie";"Anne-Marie"
"Anne-Sofie";"Anne-Sophie"
"Annica";"Anika"
"Annica";"Annika"
"Annica";"Annikka"
"Annkathrin";"Ann-Cathrin"
"Annkathrin";"Annkatrin"
"Ann-Kathrin";"Ann-Katrin"
"Annmarie";"Ann-Marie"
"Ann-Sofie";"Ann-Sophie"
"Anny";"Anni"
"Anny";"Annie"
"Anthea";"Antea"
"Anthony";"Antony"
"Antonela";"Antonella"
"Antonia";"Anthonia"
"Antonia";"Antonija"
"Antonio";"Antonijo"
"Aphrodite";"Afrodite"
"Arian";"Arijan"
"Arian";"Ariyan"
"Arian";"Arjaan"
"Arian";"Arjan"
"Arian";"Aryan"
"Arianna";"Ariana"
"Arianna";"Arijana"
"Arjanne";"Arianne"
"Árpád";"Arpad"
"Arthur";"Artur"
"Asad";"Azad"
"Aschot";"Ashot"
"Asha";"Ascha"
"Asra";"Assra"
"Asra";"Azra"
"Asya";"Asia"
"Asya";"Asiya"
"Asya";"Asja"
"Atakan";"Atacan"
"Atena";"Athena"
"Atilla";"Atila"
"Atilla";"Atillâ"
"Atilla";"Attila"
"Atina";"Athina"
"Aurelia";"Aurelija"
"Aurelie";"Aurélie"
"Ava";"Awa"
"Avalon";"Ava-Lon"
"Aya";"Ayah"
"Ayham";"Ahyan"
"Ayham";"Aian"
"Ayham";"Ajan"
"Ayham";"Ayhan"
"Ayham";"Ayhem"
"Ayleen";"Aileen"
"Ayleen";"Eileen"
"Aylin";"Aylene"
"Aylin";"Eilin"
"Aylin";"Eyleen"
"Ayman";"Aymen Aiman"
"Ayoub";"Ayub"
"Babette";"Babett"
"Bahareh";"Bahare"
"Balint";"Bálint"
"Balthasar";"Baltasar"
"Balthasar";"Balthazar"
"Barnabas";"Barnabás"
"Bartholomaeus";"Bartholomäus"
"Bastian";"Bastiaan"
"Beatrice";"Béatrice"
"Beatrice";"Beatris"
"Beatrice";"Beatriz"
"Bela";"Béla"
"Bellina";"Belina"
"Benedicte";"Benedikte"
"Benedikt";"Benedict"
"Benett";"Benet"
"Benett";"Bennet"
"Benett";"Bennett"
"Benjamin";"Benjámin"
"Benjamin";"Benyamin"
"Benni";"Benny"
"Berivan";"Bêrivan"
"Berivan";"Beriwan"
"Bernadette";"Bernadet"
"Bernadette";"Bernadeth"
"Bernadette";"Bernadett"
"Bernhardt";"Bernhart"
"Bernt";"Bernd"
"Bernt";"Berndt"
"Bertan";"Bertán"
"Berthold";"Bertold"
"Berthold";"Bertolt"
"Besijan";"Besjan"
"Bettina";"Betina"
"Betty";"Betti"
"Beverley";"Beverly"
"Bianca";"Bianka"
"Bianca";"Bijanka"
"Biancamaria";"Bianca-Maria"
"Bilal";"Bilâl"
"Birgit";"Birgith"
"Birgit";"Birgitt"
"Birgita";"Birgitta"
"Bita";"Bitta"
"Björn";"Bjoern"
"Blanka";"Blanca"
"Branca";"Branka"
"Brian";"Bryan"
"Brit";"Britt"
"Britta";"Brita"
"Bruno";"Brúnó"
"Burkhard";"Burkard"
"Cagatay";"Çagatay"
"Cajetan";"Kajetan"
"Calvin";"Kalvin"
"Camill";"Kamill"
"Camilla";"Kamilla"
"Camillo";"Camilo"
"Camillo";"Kamillo"
"Canan";"Cânân"
"Cara";"Kara"
"Carena";"Karena"
"Carina-Anna";"Karina-Anna"
"Carina-Maria";"Karina-Maria"
"Carissma";"Charisma"
"Carl";"Karl"
"Carla";"Karla"
"Carlotta";"Karlotta"
"Carl-Philipp";"Karl-Philipp"
"Carl-Philipp";"Karl-Phillip"
"Carmen";"Karmen"
"Carola";"Karola"
"Carol-Anne";"Carol-Ann"
"Carolin";"Karolin"
"Carolina";"Karolina"
"Carolina";"Karolína"
"Caroline";"Caroliene"
"Caroline";"Karoline"
"Carrie";"Carry"
"Caspar";"Casper"
"Caspar";"Kasper"
"Cataleya";"Cathaleya"
"Catalina";"Katalina"
"Catharina-Bianca";"Katharina-Bianca"
"Catharina-Maria";"Katharina-Maria"
"Catharine";"Catarine"
"Catharine";"Katharine"
"Catherina";"Caterina"
"Catherina";"Katherina"
"Cátherine";"Catherin"
"Cátherine";"Cathérine"
"Cátherine";"Katherin"
"Cécile";"Cecil"
"Cecilia";"Cäcilia"
"Cedrik";"Cederic"
"Cedrik";"Cederick"
"Cedrik";"Cedric"
"Cedrik";"Sederic"
"Cedrik";"Sederick"
"Cedrik";"Sederik"
"Cedrik";"Sedric"
"Cedrik";"Sedrick"
"Cedrik";"Sedrik"
"Celal";"Celâl"
"Celine";"Celin"
"Celine";"Céline"
"Chanel";"Chanelle"
"Chanel";"Channel"
"Chantall";"Chantal"
"Chantall";"Chantál"
"Chantall";"Chantale"
"Chantall";"Chantalle"
"Charlene";"Charlaine"
"Charlene";"Charleen"
"Charlene";"Charlien"
"Charlene";"Sharlene"
"Charlette";"Charlet"
"Charlotte";"Charlott"
"Charlyne";"Charline"
"Charmaine";"Sharmaine"
"Chérise";"Cherise"
"Chiara";"Ciara"
"Chiara";"Kiara"
"Chloe";"Chloé"
"Chris";"Chries"
"Chris";"Kris"
"Christa";"Krista"
"Christel";"Christl"
"Christel";"Kristel"
"Christelle";"Kristell"
"Christian";"Christjan"
"Christian";"Cristian"
"Christian";"Kristian"
"Christian";"Kristijan"
"Christian";"Kristjan"
"Christian";"Krisztian"
"Christian";"Krystian"
"Christin";"Cristin"
"Christin";"Kristin"
"Christina";"Cristina"
"Christina";"Kristina"
"Christina";"Kristína"
"Christina";"Kristýna"
"Christina-Maria";"Kristina-Maria"
"Christine";"Cristine"
"Christine";"Kristine"
"Christin-Therese";"Kristin-Thérèse"
"Christoph";"Christof"
"Christoph";"Christoff"
"Christoph";"Cristof"
"Christoph";"Cristoph"
"Christoph";"Kristof"
"Christoph";"Kristóf"
"Christoph";"Kristoff"
"Christoph";"Kristoph"
"Christopher";"Christofer"
"Christopher";"Christoffer"
"Christopher";"Christopha"
"Christopher";"Kristofer"
"Christopher";"Kristoffer"
"Christopher";"Kristopher"
"Christy";"Kristy"
"Cigdem";"¦Igdem"
"Cindarella";"Cinderella"
"Cindarella";"Sinderella"
"Cindy";"Cyndi"
"Cindy";"Sindi"
"Cindy";"Sindy"
"Claire";"Clair"
"Clara";"Klara"
"Clare-Antonia";"Klare-Antonia"
"Clarissa";"Klarissa"
"Claudia";"Klaudia"
"Claudia";"Klaudija"
"Claudio";"Klaudio"
"Claudius";"Klaudius"
"Claus";"Klaus"
"Claus-Peter";"Klaus-Peter"
"Clélia";"Clelia"
"Clemens";"Klemens"
"Clement";"Klement"
"Clio";"Klio"
"Clivia";"Klivia"
"Coleen";"Colien"
"Coleen";"Colleen"
"Colin";"Collin"
