"catherine","bouloux","marquet","catherine bouloux marquet","f","zbmath"
"sabina","","pannek","sabina pannek","f","zbmath"
"lourdes","","fernandes","lourdes fernandes","f","zbmath"
"tatiana","","filippova","tatiana filippova","f","zbmath"
"silke","","gehrke","silke gehrke","f","zbmath"
"elena","","tatievskaya","elena tatievskaya","f","zbmath"
"rachel","","fouladi","rachel fouladi","f","zbmath"
"magdalena","","bojarska","magdalena bojarska","f","zbmath"
"zeynep","","kalaylioglu","zeynep kalaylioglu","f","zbmath"
"oksana","","medvid","oksana medvid","f","zbmath"
"ekaterina","","eliseeva","ekaterina eliseeva","f","zbmath"
"annie","","raymond","annie raymond","f","zbmath"
"gozde","","ozkan","gozde ozkan","f","zbmath"
"yolanda","","moreno","yolanda moreno","f","zbmath"
"isabel","fraga","alves","isabel fraga alves","f","zbmath"
"carrie","","yam","carrie yam","f","zbmath"
"kathrin","","fischer","kathrin fischer","f","zbmath"
"outi","elina","maasalo","outi elina maasalo","f","zbmath"
"marie","francoise","delcroix","marie francoise delcroix","f","zbmath"
"mihyun","","kang","mihyun kang","f","zbmath"
"suhasini","subba","rao","suhasini subba rao","f","zbmath"
"diane","","hope","diane hope","f","zbmath"
"lubica","","stanekova","lubica stanekova","f","zbmath"
"catherine","","pardoux","catherine pardoux","f","zbmath"
"emese","","vargyas","emese vargyas","f","zbmath"
"gabrijela","","grujic","gabrijela grujic","f","zbmath"
"maria","zofia","banaszczyk","maria zofia banaszczyk","f","zbmath"
"irena","","lasiecka","irena lasiecka","f","zbmath"
"ingrid","","glad","ingrid glad","f","zbmath"
"soo","jin","kim","soo jin kim","f","zbmath"
"meenu","","verma","meenu verma","f","zbmath"
"veska","","noncheva","veska noncheva","f","zbmath"
"penny","","whiting","penny whiting","f","zbmath"
"miwa","","iwakura","miwa iwakura","f","zbmath"
"krystyna","","gozdalska","krystyna gozdalska","f","zbmath"
"figen","acil","kiraz","figen acil kiraz","f","zbmath"
"maura","","mezzetti","maura mezzetti","f","zbmath"
"marta","","llorente","marta llorente","f","zbmath"
"natalie","","thorne","natalie thorne","f","zbmath"
"izolda","","wiercinska","izolda wiercinska","f","zbmath"
