ARAAO|ARAO,M,AARAO,,281,281,3526,ARAO,1.0
AHARON|AROM|ARON|ARYON|HARON,M,AARON,,676,676,3442,ARON,1.0
,M,ABADE,,57,57,57,ABADE,1.0
ABADIR,M,ABADI,,73,73,116,ABADI,1.0
,M,ABADIAS,45,156,201,201,ABADIAS,0.7761194029850746
,M,ABADIO,,1550,1550,1550,ABADIO,1.0
ABETE|ADETE,M,ABAETE,,39,39,233,ADETE,1.0
,M,ABD,,23,23,23,ABD,1.0
ABDAEL|ABDEEL|ABDEL|ABDIEL|ABDUL|ADBEEL|ADBEL|ADBIEL,M,ABDAL,,32,32,1564,ABDIEL,1.0
,M,ABDALA,,346,346,346,ABDALA,1.0
ABDALLAH,M,ABDALLA,,87,87,149,ABDALLA,1.0
ABDALLA,M,ABDALLAH,,62,62,149,ABDALLA,1.0
,M,ABDAO,,67,67,67,ABDAO,1.0
ABDER|ADBE,M,ABDE,,21,21,45,ABDER,1.0
ABDAEL|ABDAL|ABDEL|ABDIEL|ABDUL|ADBEEL|ADBEL|ADBIEL,M,ABDEEL,,34,34,1564,ABDIEL,1.0
ABDAEL|ABDAL|ABDEEL|ABDIEL|ABDUL|ADBEEL|ADBEL|ADBIEL,M,ABDEL,,207,207,1564,ABDIEL,1.0
,M,ABDENAGO,,70,70,70,ABDENAGO,1.0
,M,ABDENEGO,,189,189,189,ABDENEGO,1.0
,M,ABDENICO,,22,22,22,ABDENICO,1.0
,M,ABDENIGO,,28,28,28,ABDENIGO,1.0
,M,ABDENIO,,50,50,50,ABDENIO,1.0
,M,ABDENOR,,43,43,43,ABDENOR,1.0
ABDE|ADBE,M,ABDER,,24,24,45,ABDER,1.0
,M,ABDERMAN,,71,71,71,ABDERMAN,1.0
ABDIR|ADBI|ADDY,M,ABDI,,39,39,111,ABDI,1.0
,M,ABDIA,,100,100,100,ABDIA,1.0
,M,ABDIAS,28,5153,5181,5181,ABDIAS,0.9945956379077399
